S.No,Food Name,Ingredients,Instruction
1,کسیر (Kesir),"انڈے - 1 سے 2 عدد, دودھ - تھوڑا سا, تیل - تھوڑا سا, نمک - حسبِ ضرورت, بیکنگ سوڈا - حسبِ ضرورت, پانی - حسبِ ضرورت, میدہ - حسبِ ضرورت",ایک باؤل میں انڈے توڑ کر ڈالیں۔ دودھ، تیل، نمک اور بیکنگ سوڈا شامل کریں۔ حسبِ ضرورت پانی ڈالیں۔ آہستہ آہستہ میدہ ملاتے ہوئے ہموار آمیزہ بنا لیں۔ اچھی طرح مکس کریں، آمیزہ تیار ہے۔
2,خوربہ (Khorba),"میدہ - حسبِ ضرورت, بیکنگ سوڈا - تھوڑا سا, پانی - حسبِ ضرورت",باؤل میں میدہ اور بیکنگ سوڈا لیں۔ آہستہ آہستہ پانی ڈال کر نرم آٹا گوندھ لیں۔ 1 سے 2 گھنٹے کے لیے ڈھانپ کر رکھ دیں تاکہ آٹا خمیر ہو کر پھول جائے۔ پھر استعمال کریں۔
3,نمکین چائے (Namkeen Cha),"پانی - حسبِ ضرورت, سبز چائے - حسبِ ضرورت, سبز الائچی - 2 سے 3 عدد, چائے مصالحہ - حسبِ پسند (اختیاری)",برتن میں پانی ڈالیں۔ سبز چائے، سبز الائچی اور چائے مصالحہ شامل کریں۔ ابال آنے دیں اور تقریباً 5 منٹ تک پکنے دیں۔
4,بلتی کلچہ (Balti Kulcha),"میدہ, دودھ, بیکنگ سوڈا, بیکنگ پاؤڈر, نمک, انڈے کی سفیدی و زردی, تیل, پانی",میدہ میں دودھ، بیکنگ سوڈا، بیکنگ پاؤڈر، نمک، انڈے کی سفیدی اور تیل ملا کر نرم آٹا گوندھ لیں۔ 30 منٹ کے لیے رکھ دیں۔ کلچے کی شکل دیں، اوپر انڈے کی زردی لگائیں اور ڈیزائن بنائیں۔ بیکنگ کے لیے تیار ہے۔
5,مرزن (Marzen),"آٹا - 2 کپ, پانی - 2 کپ, نمک - 1 چائے کا چمچ, مکھن - 1 کھانے کا چمچ (اختیاری)",پانی میں نمک ڈال کر ابالیں۔ چمچ چلاتے ہوئے آہستہ آہستہ آٹا شامل کریں۔ 3 سے 5 منٹ ہلکی آنچ پر پکائیں تاکہ گھٹلیاں نہ بنیں۔ پلیٹ میں نکال کر مکھن یا دیسی گھی کے ساتھ گرم گرم پیش کریں۔
6,پراپو (Prapo),"گندم کا آٹا - 2 کپ, پانی - 1.5 کپ, نمک - 1 چائے کا چمچ, خمیر - 1 چائے کا چمچ, ہرا پیاز - 0.5 کپ, ہرا دھنیا - 0.5 کپ, کھٹا دہی / دہی - 0.5 کپ",آٹے میں نمک، خمیر اور پانی ملا کر نرم گوندھ لیں اور 20 منٹ رکھیں۔ چھوٹے ٹکڑے کر کے شکل دیں۔ ابلتے پانی میں ڈال کر پکائیں جب تک اوپر نہ تیرنے لگیں۔ علیحدہ باؤل میں ہرا پیاز، دھنیا اور دہی مکس کر کے سوس بنائیں اور پکے ہوئے ٹکڑوں پر ڈال کر پیش کریں۔
7,رَخپ کُھر (Rxap Khur),"گندم کا آٹا - 2 کپ, دودھ - 1 کپ, دہی - 2 کھانے کے چمچ, گھی - 2 کھانے کے چمچ, نمک - 1 چائے کا چمچ, چینی - 1 چائے کا چمچ (اختیاری), خمیر - 1 چائے کا چمچ",تمام اجزاء کو ملا کر نرم آٹا گوندھیں اور 1 گھنٹہ پھولنے دیں۔ توے پر گھی لگائیں، 1 انچ موٹی روٹی بنا کر ہلکی آنچ پر دونوں طرف سے 8 سے 10 منٹ سنہری ہونے تک پکائیں۔ گرم چائے کے ساتھ پیش کریں۔
8,ٹرو بالے (Tro Balay),"ٹرو - 500 گرام, ٹرنما - 300 گرام, پیاز - 2 عدد, لہسن - 6 جوئے, ہرا پیاز - 0.5 کپ, ہرا دھنیا - 0.5 کپ, نمک - 1 چائے کا چمچ, ہلدی - 0.5 چائے کا چمچ, مکس مصالحہ - 1 چائے کا چمچ, تیل - 3 کھانے کے چمچ, پانی - 2 سے 3 کپ",پریشر کوکر میں تیل گرم کر کے پیاز اور لہسن بھونیں۔ مصالحے، ہرا پیاز اور دھنیا ڈالیں۔ ٹرو اور ٹرنما شامل کر کے مکس کریں اور پانی ڈالیں۔ 10 سے 15 منٹ پریشر میں پکائیں۔ بلتی روٹی یا چاول کے ساتھ پیش کریں۔
